Domain,Skills
Programming languages,"Python, C++, JavaScript, Swift, HTML/CSS"
Machine learning,"TensorFlow, PyTorch, scikit-learn, RAG/Vector Stores, LLM APIs"
Data analysis,"Pandas, Matplotlib"
Software engineering,"VSCode, Xcode"
Collaboration,"Microsoft Teams, Notion, Trello, Zoom, GitHub "
LLMs,"OpenAI, Anthropic, Google, Ollama, DeepSeek, PerplexityAI"